,Date,Open,High,Low,Close,DeltaMSCI,DeltaMSCI-CUM,Delta%-MSCI,Delta%-MSCI-CUM
0,2008-03-28,39.57,39.57,39.57,39.57,0.0,0.0,0.0,0.0
1,2008-03-31,39.49,39.49,38.95,38.95,-0.5399999999999991,-0.5399999999999991,-0.013674347936186354,-0.013674347936186354
2,2008-04-01,39.69,40.01,39.62,40.01,0.3200000000000003,-0.21999999999999886,0.008062484252960451,-0.005611863683225903
3,2008-04-02,40.38,40.6,40.32,40.45,0.07000000000000028,-0.14999999999999858,0.0017335314512134789,-0.003878332232012424
4,2008-04-03,47.15,47.15,40.24,40.68,-6.469999999999999,-6.619999999999997,-0.13722163308589605,-0.14109996531790847
5,2008-04-04,43.4,43.4,40.65,40.65,-2.75,-9.369999999999997,-0.06336405529953917,-0.20446402061744764
6,2008-04-07,41.85,41.85,40.48,40.89,-0.9600000000000009,-10.329999999999998,-0.022939068100358444,-0.2274030887178061
7,2008-04-08,40.54,41.14,40.54,41.14,0.6000000000000014,-9.729999999999997,0.014800197335964514,-0.21260289138184157
8,2008-04-09,40.53,40.53,40.31,40.38,-0.14999999999999858,-9.879999999999995,-0.003700962250185013,-0.2163038536320266
9,2008-04-10,40.68,40.68,40.16,40.38,-0.29999999999999716,-10.179999999999993,-0.007374631268436509,-0.2236784849004631
10,2008-04-11,40.14,40.14,39.74,39.74,-0.3999999999999986,-10.579999999999991,-0.009965122072745355,-0.23364360697320846
11,2008-04-14,40.43,40.43,39.81,39.89,-0.5399999999999991,-11.11999999999999,-0.013356418501113014,-0.24700002547432148
12,2008-04-15,39.97,40.01,39.82,40.01,0.03999999999999915,-11.079999999999991,0.0010007505629221704,-0.2459992749113993
13,2008-04-16,40.43,40.91,40.43,40.55,0.11999999999999744,-10.959999999999994,0.0029680930002472777,-0.24303118191115203
14,2008-04-17,40.82,41.78,40.79,41.1,0.28000000000000114,-10.679999999999993,0.006859382655561027,-0.236171799255591
15,2008-04-18,42.08,42.08,41.23,41.55,-0.5300000000000011,-11.209999999999994,-0.01259505703422056,-0.24876685628981157
16,2008-04-21,44.44,47.75,41.44,41.73,-2.710000000000001,-13.919999999999995,-0.060981098109811005,-0.30974795439962255
17,2008-04-22,41.36,41.62,41.17,41.36,0.0,-13.919999999999995,0.0,-0.30974795439962255
18,2008-04-23,41.55,41.73,41.21,41.46,-0.0899999999999963,-14.009999999999991,-0.0021660649819493696,-0.3119140193815719
19,2008-04-24,41.07,41.58,41.07,41.47,0.3999999999999986,-13.609999999999992,0.009739469198928624,-0.3021745501826433
20,2008-04-25,41.77,41.77,41.52,41.64,-0.13000000000000256,-13.739999999999995,-0.0031122815417764555,-0.3052868317244197
21,2008-04-28,42.26,42.26,41.83,41.98,-0.28000000000000114,-14.019999999999996,-0.006625650733554216,-0.3119124824579739
22,2008-04-29,41.87,41.87,41.31,41.5,-0.36999999999999744,-14.389999999999993,-0.008836876044900823,-0.3207493585028747
23,2008-04-30,41.65,42.52,41.64,42.06,0.4100000000000037,-13.97999999999999,0.0098439375750301,-0.3109054209278446
24,2008-05-01,41.58,42.01,41.52,41.93,0.3500000000000014,-13.629999999999988,0.008417508417508452,-0.3024879125103362
25,2008-05-02,42.26,42.44,42.11,42.19,-0.07000000000000028,-13.699999999999989,-0.001656412683388554,-0.30414432519372475
26,2008-05-05,42.26,42.31,42.18,42.31,0.05000000000000426,-13.649999999999984,0.001183151916706206,-0.30296117327701855
27,2008-05-06,42.19,42.6,42.17,42.6,0.4100000000000037,-13.23999999999998,0.009717942640436211,-0.2932432306365823
28,2008-05-07,42.55,42.55,41.86,41.88,-0.6699999999999946,-13.909999999999975,-0.01574618096357214,-0.3089894116001545
29,2008-05-08,42.03,42.73,42.0,42.03,0.0,-13.909999999999975,0.0,-0.3089894116001545
30,2008-05-09,41.58,41.85,41.58,41.85,0.2700000000000031,-13.639999999999972,0.006493506493506569,-0.3024959051066479
31,2008-05-12,41.96,42.27,41.96,42.27,0.3100000000000023,-13.32999999999997,0.007387988560533896,-0.295107916546114
32,2008-05-13,42.21,42.73,42.04,42.32,0.10999999999999943,-13.21999999999997,0.0026060175313906524,-0.29250189901472334
33,2008-05-14,42.62,42.74,42.41,42.41,-0.21000000000000085,-13.429999999999971,-0.004927264195213535,-0.2974291632099369
34,2008-05-15,42.64,42.86,42.64,42.86,0.21999999999999886,-13.209999999999972,0.0051594746716697665,-0.2922696885382671
35,2008-05-16,43.08,43.23,42.94,43.23,0.14999999999999858,-13.059999999999974,0.0034818941504177942,-0.28878779438784935
36,2008-05-19,43.12,43.63,43.12,43.21,0.09000000000000341,-12.96999999999997,0.0020871985157700237,-0.2867005958720793
37,2008-05-20,43.15,43.15,42.79,42.79,-0.35999999999999943,-13.32999999999997,-0.008342989571263023,-0.2950435854433423
38,2008-05-21,43.01,43.06,42.47,42.49,-0.519999999999996,-13.849999999999966,-0.012090211578702536,-0.30713379702204485
39,2008-05-22,42.65,42.76,42.37,42.56,-0.0899999999999963,-13.939999999999962,-0.0021101992966001478,-0.309243996318645
40,2008-05-23,42.56,42.57,41.15,41.89,-0.6700000000000017,-14.609999999999964,-0.015742481203007558,-0.32498647752165255
41,2008-05-27,43.12,43.12,41.65,42.22,-0.8999999999999986,-15.509999999999962,-0.02087198515769941,-0.34585846267935194
42,2008-05-28,42.04,42.22,41.95,42.21,0.1700000000000017,-15.33999999999996,0.004043767840152277,-0.3418146948391997
43,2008-05-29,42.21,43.37,42.08,42.47,0.259999999999998,-15.079999999999963,0.006159677801468799,-0.3356550170377309
44,2008-05-30,42.93,42.93,42.41,42.42,-0.509999999999998,-15.58999999999996,-0.011879804332634475,-0.34753482137036534
45,2008-06-02,42.41,42.47,41.96,42.1,-0.30999999999999517,-15.899999999999956,-0.007309596793209036,-0.35484441816357437
46,2008-06-03,42.1,42.47,41.6,42.0,-0.10000000000000142,-15.999999999999957,-0.0023752969121140478,-0.3572197150756884
47,2008-06-04,41.69,41.9,41.56,41.57,-0.11999999999999744,-16.119999999999955,-0.002878388102662448,-0.36009810317835084
48,2008-06-05,41.74,42.46,41.74,42.46,0.7199999999999989,-15.399999999999956,0.017249640632486796,-0.34284846254586404
49,2008-06-06,42.13,42.13,41.34,41.34,-0.7899999999999991,-16.189999999999955,-0.018751483503441708,-0.36159994604930573
50,2008-06-09,41.33,41.46,41.07,41.09,-0.23999999999999488,-16.42999999999995,-0.005806919912896078,-0.3674068659622018
51,2008-06-10,40.92,40.92,40.61,40.68,-0.240000000000002,-16.669999999999952,-0.005865102639296236,-0.373271968601498
52,2008-06-11,40.72,40.72,40.19,40.19,-0.5300000000000011,-17.199999999999953,-0.013015717092337946,-0.386287685693836
53,2008-06-12,40.11,40.49,40.09,40.22,0.10999999999999943,-17.089999999999954,0.0027424582398404246,-0.38354522745399555
54,2008-06-13,40.22,40.51,40.22,40.49,0.2700000000000031,-16.81999999999995,0.006713078070611714,-0.37683214938338383
55,2008-06-16,40.53,40.82,40.53,40.76,0.22999999999999687,-16.589999999999954,0.005674808783616997,-0.37115734059976685
56,2008-06-17,40.68,40.9,40.68,40.76,0.0799999999999983,-16.509999999999955,0.0019665683382497122,-0.36919077226151714
57,2008-06-18,40.68,40.68,40.38,40.46,-0.21999999999999886,-16.729999999999954,-0.0054080629301867965,-0.37459883519170395
58,2008-06-19,40.38,40.38,39.93,39.93,-0.45000000000000284,-17.179999999999957,-0.011144130757800961,-0.3857429659495049
59,2008-06-20,40.05,40.67,39.59,39.64,-0.4099999999999966,-17.589999999999954,-0.010237203495630377,-0.3959801694451353
60,2008-06-23,39.55,39.78,39.49,39.78,0.23000000000000398,-17.35999999999995,0.00581542351453866,-0.39016474593059663
61,2008-06-24,39.49,39.86,39.29,39.38,-0.10999999999999943,-17.46999999999995,-0.002785515320334247,-0.39295026125093085
62,2008-06-25,39.62,39.88,39.62,39.81,0.19000000000000483,-17.279999999999944,0.004795557799091491,-0.3881547034518394
63,2008-06-26,39.67,39.67,38.81,38.81,-0.8599999999999994,-18.139999999999944,-0.02167885051676328,-0.40983355396860266
64,2008-06-27,38.87,38.98,38.62,38.88,0.010000000000005116,-18.12999999999994,0.00025726781579637554,-0.4095762861528063
65,2008-06-30,39.03,39.38,39.03,39.03,0.0,-18.12999999999994,0.0,-0.4095762861528063
66,2008-07-01,38.55,38.92,38.23,38.73,0.17999999999999972,-17.94999999999994,0.004669260700389098,-0.4049070254524172
67,2008-07-02,38.93,38.93,38.05,38.13,-0.7999999999999972,-18.749999999999936,-0.02054970459799633,-0.4254567300504135
68,2008-07-03,38.23,38.23,37.87,37.97,-0.259999999999998,-19.009999999999934,-0.006800941668846404,-0.43225767171925994
69,2008-07-07,37.13,40.04,37.12,38.12,0.9899999999999949,-18.01999999999994,0.026663075680042954,-0.405594596039217
70,2008-07-08,37.71,38.01,37.32,38.01,0.29999999999999716,-17.719999999999942,0.007955449482895708,-0.39763914655632127
71,2008-07-09,38.26,38.63,37.68,37.92,-0.3399999999999963,-18.05999999999994,-0.008886565603763625,-0.4065257121600849
72,2008-07-10,37.79,38.05,37.56,37.79,0.0,-18.05999999999994,0.0,-0.4065257121600849
73,2008-07-11,37.59,37.79,37.17,37.52,-0.07000000000000028,-18.12999999999994,-0.0018621973929236573,-0.4083879095530085
74,2008-07-14,37.78,37.86,37.24,37.37,-0.4100000000000037,-18.539999999999942,-0.010852302805717409,-0.41924021235872594
75,2008-07-15,37.12,37.14,36.45,36.98,-0.14000000000000057,-18.679999999999943,-0.003771551724137947,-0.4230117640828639
76,2008-07-16,36.77,37.4,36.67,37.34,0.5700000000000003,-18.109999999999943,0.015501767745444662,-0.40750999633741924
77,2008-07-17,37.94,38.01,37.66,37.83,-0.10999999999999943,-18.219999999999942,-0.002899314707432774,-0.410409311044852
78,2008-07-18,39.97,39.97,37.54,37.86,-2.1099999999999994,-20.32999999999994,-0.0527895921941456,-0.4631989032389976
79,2008-07-21,38.82,38.82,38.02,38.03,-0.7899999999999991,-21.11999999999994,-0.020350334878928365,-0.48354923811792594
80,2008-07-22,37.91,38.07,37.76,38.01,0.10000000000000142,-21.01999999999994,0.0026378264310208763,-0.48091141168690504
81,2008-07-23,38.39,38.69,38.39,38.53,0.14000000000000057,-20.87999999999994,0.0036467830164105385,-0.4772646286704945
82,2008-07-24,38.55,38.55,37.71,37.71,-0.8399999999999963,-21.719999999999935,-0.021789883268482396,-0.49905451193897693
83,2008-07-25,37.71,37.92,37.68,37.71,0.0,-21.719999999999935,0.0,-0.49905451193897693
84,2008-07-28,37.67,37.83,37.26,37.26,-0.4100000000000037,-22.12999999999994,-0.010883992567029564,-0.5099385045060065
85,2008-07-29,37.22,37.73,37.22,37.68,0.46000000000000085,-21.669999999999938,0.012358946802794219,-0.4975795577032123
86,2008-07-30,37.87,38.1,37.66,37.9,0.030000000000001137,-21.639999999999937,0.0007921837866385302,-0.4967873739165738
87,2008-07-31,37.94,38.16,37.8,37.8,-0.14000000000000057,-21.779999999999937,-0.0036900369003690188,-0.5004774108169429
88,2008-08-01,37.75,37.75,37.34,37.36,-0.39000000000000057,-22.169999999999938,-0.010331125827814584,-0.5108085366447574
89,2008-08-04,37.17,37.22,36.89,36.98,-0.19000000000000483,-22.359999999999943,-0.005111649179445919,-0.5159201858242034
90,2008-08-05,37.37,37.61,37.19,37.58,0.21000000000000085,-22.14999999999994,0.005619480867005643,-0.5103007049571978
91,2008-08-06,37.75,38.01,37.64,38.01,0.259999999999998,-21.889999999999944,0.0068874172185429934,-0.5034132877386548
92,2008-08-07,37.85,37.85,37.22,37.28,-0.5700000000000003,-22.459999999999944,-0.015059445178335542,-0.5184727329169904
93,2008-08-08,37.06,37.75,37.06,37.7,0.6400000000000006,-21.819999999999943,0.017269293038316258,-0.5012034398786741
94,2008-08-11,37.75,37.8,37.75,37.75,0.0,-21.819999999999943,0.0,-0.5012034398786741
95,2008-08-12,37.75,37.79,37.41,37.46,-0.28999999999999915,-22.109999999999943,-0.007682119205297991,-0.5088855590839721
96,2008-08-13,37.24,37.39,36.95,37.28,0.03999999999999915,-22.069999999999943,0.0010741138560687203,-0.5078114452279034
97,2008-08-14,37.12,37.36,37.12,37.31,0.19000000000000483,-21.87999999999994,0.0051185344827587515,-0.5026929107451447
98,2008-08-15,37.22,37.27,37.05,37.16,-0.060000000000002274,-21.93999999999994,-0.0016120365394949564,-0.5043049472846396
99,2008-08-18,37.24,37.24,36.7,36.82,-0.4200000000000017,-22.359999999999943,-0.011278195488721849,-0.5155831427733615
100,2008-08-19,36.43,36.48,36.26,36.36,-0.07000000000000028,-22.429999999999943,-0.0019214932747735462,-0.517504636048135
101,2008-08-20,36.47,36.75,36.37,36.58,0.10999999999999943,-22.319999999999943,0.0030161776802851504,-0.5144884583678498
