,Date,Open,High,Low,Close,DeltaSP500,DeltaSP500-CUM,Delta%-SP500,Delta%-SP500-CUM
0,1927-12-30,17.66,17.66,17.66,17.66,0.0,0.0,0.0,0.0
1,1928-01-03,17.76,17.76,17.76,17.76,0.10000000000000142,0.10000000000000142,0.005662514156285471,0.005662514156285471
2,1928-01-04,17.72,17.72,17.72,17.72,-0.0400000000000027,0.05999999999999872,-0.002252252252252404,0.003410261904033067
3,1928-01-05,17.55,17.55,17.55,17.55,-0.16999999999999815,-0.10999999999999943,-0.009593679458239175,-0.006183417554206108
4,1928-01-06,17.66,17.66,17.66,17.66,0.10999999999999943,0.0,0.006267806267806235,8.438871360012725e-05
5,1928-01-09,17.5,17.5,17.5,17.5,-0.16000000000000014,-0.16000000000000014,-0.009060022650056633,-0.008975633936456506
6,1928-01-10,17.37,17.37,17.37,17.37,-0.129999999999999,-0.28999999999999915,-0.007428571428571372,-0.016404205365027878
7,1928-01-11,17.35,17.35,17.35,17.35,-0.019999999999999574,-0.3099999999999987,-0.0011514104778353237,-0.0175556158428632
8,1928-01-12,17.47,17.47,17.47,17.47,0.11999999999999744,-0.19000000000000128,0.006916426512968151,-0.010639189329895049
9,1928-01-13,17.58,17.58,17.58,17.58,0.10999999999999943,-0.08000000000000185,0.006296508299942727,-0.004342681029952322
10,1928-01-16,17.29,17.29,17.29,17.29,-0.28999999999999915,-0.370000000000001,-0.016496018202502797,-0.02083869923245512
11,1928-01-17,17.3,17.3,17.3,17.3,0.010000000000001563,-0.35999999999999943,0.0005783689994217215,-0.020260330233033398
12,1928-01-18,17.26,17.26,17.26,17.26,-0.03999999999999915,-0.3999999999999986,-0.00231213872832365,-0.022572468961357048
13,1928-01-19,17.38,17.38,17.38,17.38,0.11999999999999744,-0.28000000000000114,0.006952491309385715,-0.015619977651971333
14,1928-01-20,17.48,17.48,17.48,17.48,0.10000000000000142,-0.17999999999999972,0.005753739930955203,-0.00986623772101613
15,1928-01-23,17.64,17.64,17.64,17.64,0.16000000000000014,-0.019999999999999574,0.009153318077803212,-0.000712919643212918
16,1928-01-24,17.71,17.71,17.71,17.71,0.07000000000000028,0.05000000000000071,0.0039682539682539845,0.0032553343250410665
17,1928-01-25,17.52,17.52,17.52,17.52,-0.19000000000000128,-0.14000000000000057,-0.010728402032749931,-0.0074730677077088645
18,1928-01-26,17.63,17.63,17.63,17.63,0.10999999999999943,-0.030000000000001137,0.006278538812785356,-0.0011945288949235088
19,1928-01-27,17.69,17.69,17.69,17.69,0.060000000000002274,0.030000000000001137,0.003403289846852086,0.0022087609519285773
20,1928-01-30,17.49,17.49,17.49,17.49,-0.20000000000000284,-0.1700000000000017,-0.011305822498586932,-0.009097061546658354
21,1928-01-31,17.57,17.57,17.57,17.57,0.08000000000000185,-0.08999999999999986,0.004574042309891472,-0.004523019236766882
22,1928-02-01,17.53,17.53,17.53,17.53,-0.03999999999999915,-0.129999999999999,-0.002276607854297049,-0.006799627091063931
23,1928-02-02,17.63,17.63,17.63,17.63,0.09999999999999787,-0.030000000000001137,0.005704506560182422,-0.0010951205308815087
24,1928-02-03,17.4,17.4,17.4,17.4,-0.23000000000000043,-0.26000000000000156,-0.013045944412932527,-0.014141064943814036
25,1928-02-06,17.45,17.45,17.45,17.45,0.05000000000000071,-0.21000000000000085,0.0028735632183908458,-0.01126750172542319
26,1928-02-07,17.44,17.44,17.44,17.44,-0.00999999999999801,-0.21999999999999886,-0.0005730659025786826,-0.011840567628001872
27,1928-02-08,17.49,17.49,17.49,17.49,0.04999999999999716,-0.1700000000000017,0.002866972477064057,-0.008973595150937815
28,1928-02-09,17.55,17.55,17.55,17.55,0.060000000000002274,-0.10999999999999943,0.0034305317324186554,-0.005543063418519159
