,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,Date
20,197001140001,1970,1,14,,0,,217,United States,1,North America,Illinois,Champaign,"40,116748","-88,23927",1.0,0,Champaign Police Department,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebomb thrown through window,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),,,0.0,,,,,,,0.0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Peter F. Nardulli and Jeffrey M. Stonecash, ""Politics, Professionalism, and Urban Services,"" Oelgeschlager, Gunn & Hain, Publishers, Inc. 1981.",Hewitt Project,-9,-9,0,-9,,1970-01-14
30,197001250002,1970,1,25,,0,,217,United States,1,North America,New York,New York City,"40,697132","-73,931351",1.0,0,Manhattan,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),,One window in a building shattered,0.0,,,,,,,0.0,,,,,,,,,Police do not believe that this attack was related to the shooting of a police officer in Queens hours later (197001260003).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Martin Arnold, ""Harlem Area Sealed Off As Police Hunt Snipers,"" New York Times, January 27, 1970.","""2 Policemen Wounded by Sniper Fire,"" New York Times, January 26, 1970.",Hewitt Project,-9,-9,0,-9,,1970-01-25
63,197002130003,1970,2,13,,0,,217,United States,1,North America,California,Berkeley,"37,874043","-122,280022",1.0,0,Parking lot of police station,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police Station,Berkeley Police Station,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To intimidate the police.,1.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Homemade dynamite time bombs,0.0,0.0,0.0,7.0,7.0,0.0,1,3.0,Minor (likely < $1 million),,Three cars destroyed.  Numerous other vehicles damaged.  Windows shattered at adjacent buildings.,0.0,,,,,,,0.0,,,,,,,,,The bombs detonated 30 seconds apart.  The bombs used in the attack were similar to the devices used in the attack against a police station in San Francisco three days later (197002160001).  There was a contentious City Council debate earlier in the week as to whether the police department should receive a helicopter.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Bombs Injure 2 Policemen in Berkeley,"" Washington Post, February 14, 1970.","""San Francisco Bomb Injured 7 Policemen,"" Washington Post, February 18, 1970.",Hewitt Project,-9,-9,0,-9,,1970-02-13
65,197002150002,1970,2,15,,0,,217,United States,1,North America,Oregon,Eugene,"44,04483","-123,072606",1.0,0,,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28.0,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. storage area, University of Oregon",217.0,United States,,,,,,,,,,,,,,,,,Student Radicals,,,,,,To protest the University of Oregon's decision to retain the R.O.T.C. program,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,Arson,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),350000.0,R.O.T.C. storage area destroyed.  Four class rooms and two offices were destroyed.,0.0,,,,,,,0.0,,,,,,,,,The fire was set in the R.O.T.C. storage area.  David Boggs was the fireman who was injured.,"Mike Stahlberg, ""Clues Sought for Cause of UO Fire,"" Eugene Register-Guard, February 17, 1970.","""Students Impede Firemen; R.O.T.C. Offices in Ruins,"" The Milwaukee Journal, February 17, 1970.","Emily Mosen, ""The Reserve Officers' Training Corps: Protests and Perspectives on the University of Oregon Campus in 1969 and 1970,"" University of Oregon, March 14, 2005.",Hewitt Project,-9,-9,0,-9,,1970-02-15
111,197003050003,1970,3,5,,0,,217,United States,1,North America,Puerto Rico,San Juan,"18,386932","-66,061127",1.0,0,,"3/5/1970: Unknown Puerto Rican Nationalists assassinated two United States Navy personal stationed in San Juan, Puerto Rico.  The incident was in response to the death of Antonia Martinez Lagaras, who was shot and killed during a confrontation between students and police in front of the R.O.T.C. building at the University of Puerto Rico, Rio Piedras a day earlier.",1,1,1,0,,,0,1,0,1,Assassination,,,,,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",US Navy,Two members of the United States Navy,217.0,United States,,,,,,,,,,,,,,,,,Armed Commandos of Liberation,,Armed Revolutionary Independence Movement (MIRA),,,,To protest United States presence in Puerto Rico and revenge the death of Antonia Martinez Lagares,1.0,1.0,,0,-99.0,-99.0,0.0,,,0.0,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,Conflicting reports attribute the incident to the Armed Commandos of Liberation and the Armed Revolutionary Independence Movement (MIRA).,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","William Sater, ""Puerto Rican Terrorists: A Possible Threat to U.S. Energy Installations?,"" RAND, October 1981.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqués from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",Hewitt Project,0,1,0,1,,1970-03-05
119,197003090006,1970,3,9,,0,,217,United States,1,North America,Maryland,Bel Air,"39,53894","-76,348479",1.0,0,Floor of car,"3/9/1970: A bomb exploded in the car of Ralph Featherstone and William Payne, members of the Student non-violent Coordinating Committee and supporters of H. Rap Brown, while they were driving in Bel Air, Maryland, United States.  Both men died as a result of the blast.  Police suspected that the bomb exploded prematurely and was intended for H. Rap Brown's trial scheduled to be held  at the Harford County Courthouse   Many members of the radical Black community believed that the bomb was set off by White Racists or the police.  The next day, a bomb was detonated at Dorchester County Courthouse, the original location of Brown's trial, by an unknown perpetrator.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,20,Unknown,,,,,217.0,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,The suspected motive was to disrupt the trial of H. Rap Brown,1.0,,,0,2.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Police believed that the bomb had an electric battery,2.0,2.0,2.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,Car was damaged,0.0,,,,,,,0.0,,,,,,,,,"This attack is linked with 197003100002.  H. Rap Brown was charged with arson and inciting a riot.  However, he never showed up for his trial and was finally apprehended in 1972.  The bombings occurred at a time of a lot of racial tension in Maryland.   Immediately after the bombing, there were numerous bomb threats to public buildings in the Baltimore and Washington DC areas.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Homer Bigart, ""Maryland Hunts Woman In Blast,"" New York Times, March 12, 1970.","Peter A. Jay, ""Bomb Threats in Area,"" Washington Post, March 13, 1970.",Hewitt Project,-9,-9,0,-9,,1970-03-09
138,197003160001,1970,3,16,"March 16-17, 1970",0,,217,United States,1,North America,California,San Bernardino,"34,105245","-117,294124",1.0,0,"Living room, outside of house","3/16/1970: Unknown perpetrators threw four firebombs at the house of Councilman Norris Gregory in San Bernardino, California, United States.  He received minor burns attempting to put out the fire and the house sustained an estimated $4,000 in damages.  Gregory was the first and only Black councilman in San Bernadino at the time.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Black San Bernardino Councilman,Norris Gregory,217.0,United States,,,,,,,,,,,,,,,,,White supremacists/nationalists,,,,,,To protest African Americans sitting on the San Bernardino city council,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,Firebombs,0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),4000.0,The house was damaged and the drapes were set on fire,0.0,,,,,,,0.0,,,,,,,,,At the time of the firebombing Norris Gregory was facing a recall election.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Four Black Churches Fire Bombed in Texas,"" Jet Magazine, March 25, 1971.",,Hewitt Project,-9,-9,0,-9,,1970-03-16
142,197003200002,1970,3,20,,0,,217,United States,1,North America,Michigan,Detroit,"42,331685","-83,047924",1.0,0,In front of his car,"3/20/1970: Unknown perpetrators shot and killed Burton I. Gordin, the director of the Michigan Civil Rights Commission, in a downtown garage in Detroit, Michigan, United States.  Police suspected that this incident might have been politically motivated as no money was stolen from Gordin's wallet.",1,1,1,1,2.0,Other Crime Type,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,68.0,Named Civilian,Michigan Civil Rights Commission,Burton I. Gordin,217.0,United States,,,,,,,,,,,,,,,,,White supremacists/nationalists,,,,,,To protest the civil rights movement,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Three shots fired,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"The police were unsure if this incident was an attempted robbery, with the perpetrators too frightened to take the targets money, or if it was an assassination.","Jerry M. Flint, ""Civil Rights Chief In Michigan Slain,"" New York Times, March 21, 1970.","""No Motive of Suspect Seen In Slaying of Rights Official,"" Washington Post, March 22, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.",Hewitt Project,-9,-9,0,-9,,1970-03-20
145,197003210003,1970,3,21,,0,,217,United States,1,North America,New York,New York City,"40,697132","-73,931351",1.0,0,Manhattan,"3/21/1970: In a series of related attacks, a group called Puerto Rican Resistance claimed credit for two incendiary devices that ignited at Alexander's Department Store in Manhattan, New York, United States.  One person was injured but the firebomb caused minor damage.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,7.0,Retail/Grocery/Bakery,Department Store,Alexander's Department Store,217.0,United States,,,,,,,,,,,,,,,,,Puerto Rican Resistance Movement,,,,,,Promote Puerto Rican Independence,0.0,,,0,-99.0,-99.0,1.0,1.0,Letter,,,,,,,,8,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,,,,,"Cigarette box containing flammable material, batteries, and a watch mechanism",0.0,0.0,0.0,1.0,1.0,0.0,1,3.0,Minor (likely < $1 million),,Merchandise was slightly damaged,0.0,,,,,,,0.0,,,,,,,,,Part of a multiple attack with 197003210002.  Four Ecuadorians were originally detained for the bombings but they were eventually released.  The Puerto Rican Resistance claimed credit for the incident in a letter to the New York Daily News.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Robert D. McFadden, ""2 Stores Targets of Arson Devices,"" New York Times, March 22, 1970.","""Chicago 'Bomb Factory' Probe Seeks Links to Those in N.Y.,"" Washington Post, April 1, 1970.",Hewitt Project,1,0,0,1,"197003210002, 197003210003",1970-03-21
148,197003220003,1970,3,22,,0,,217,United States,1,North America,New York,New York City,"40,697132","-73,931351",1.0,0,Manhattan,"3/22/1970: In a series of related attacks, a suspected member of the Black Panther Party detonated a pipe bomb at the Electric Circus Discotheque in Manhattan New York, United States.  Seventeen people were injured and the building sustained minor damages.",1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,Discotheque,Electric  Circus,217.0,United States,,,,,,,,,,,,,,,,,Black Panthers,,,,,,,1.0,,,0,1.0,0.0,0.0,,,,,,,,,,6,Explosives,28.0,Dynamite/TNT,,,,,,,,,,,,,Pipe bomb made of dynamite and small caliber ammunition with a clock detonator,0.0,0.0,0.0,17.0,17.0,0.0,1,3.0,Minor (likely < $1 million),,Portable stage destroyed,0.0,,,,,,,0.0,,,,,,,,,"Part of a multiple attack with 197003220001 and 197003220002.  Originally the police believed that the attack was part of a dispute between Hells Angels, but eventually police accused Ishmael Brown, a member of the Black Panther Party, of being the perpetrator.   The Black Panther Party denied any involvement in the incident.  Brown was killed when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Godwin Bernard, who was injured in the apartment blast, of being the perpetrator in 197003220001 and 197003220002","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Michael Knight, ""15 at the Electric Circus Injured in Bomb Explosion,"" New York Times, March 23, 1970.","Lawrence Van Gelder, ""Injured Bombing Suspect Is Arraigned in Hospital,"" New York Times, August 12, 1970.",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003",1970-03-22
